calculator_candidate_id,calculator_candidate_name,calculator_category_raw,calculator_slot_raw,best_score,best_wiki_name,best_wiki_section,best_wiki_subsection,best_match_class,classification,best_reasons
time_wanderer,Time Wanderer,Realm,,0.0,Maneater,War Gear (Minion boosters),War Gear (Minion boosters),unlikely,calculator_formula_row_needs_manual_mapping,
the_great_scientist,The Great Scientist,Realm,,0.0,Fortress Ship,War Gear (Minion boosters),War Gear (Minion boosters),unlikely,calculator_formula_row_needs_manual_mapping,
the_great_collector,The Great Collector,Realm,,0.0,Maneater,War Gear (Minion boosters),War Gear (Minion boosters),unlikely,calculator_formula_row_needs_manual_mapping,
the_great_engineer,The Great Engineer,Realm,,0.0,Maneater,War Gear (Minion boosters),War Gear (Minion boosters),unlikely,calculator_formula_row_needs_manual_mapping,
serket_staff,Serket Staff,Form,,0.0,Maneater,War Gear (Minion boosters),War Gear (Minion boosters),unlikely,calculator_formula_row_needs_manual_mapping,
soul_reaper,Soul Reaper,Form,,0.0,Maneater,War Gear (Minion boosters),War Gear (Minion boosters),unlikely,calculator_formula_row_needs_manual_mapping,
seraph_s_light,Seraph's Light,Form,,0.0,Maneater,War Gear (Minion boosters),War Gear (Minion boosters),unlikely,calculator_formula_row_needs_manual_mapping,
subspace_blade,Subspace Blade,Form,,0.0,Maneater,War Gear (Minion boosters),War Gear (Minion boosters),unlikely,calculator_formula_row_needs_manual_mapping,
gaus_m72,Gaus M72,Form,,0.0,Maneater,War Gear (Minion boosters),War Gear (Minion boosters),unlikely,calculator_formula_row_needs_manual_mapping,
fang_of_tiamat,Fang of Tiamat,Form,,0.0,Maneater,War Gear (Minion boosters),War Gear (Minion boosters),unlikely,calculator_formula_row_needs_manual_mapping,
excaladbolg,Excaladbolg,Form,,0.0,Maneater,War Gear (Minion boosters),War Gear (Minion boosters),unlikely,calculator_formula_row_needs_manual_mapping,
strength_master_s_sword,Strength Master's Sword,"Instrument ""Attack""",,0.0,Fortress Ship,War Gear (Minion boosters),War Gear (Minion boosters),unlikely,calculator_formula_row_needs_manual_mapping,
norris_chuck,Norris-chuck,"Instrument ""Attack""",,0.0,Fortress Ship,War Gear (Minion boosters),War Gear (Minion boosters),unlikely,calculator_formula_row_needs_manual_mapping,
excalibur_ex,Excalibur EX,"Instrument ""Attack""",,0.0,Maneater,War Gear (Minion boosters),War Gear (Minion boosters),unlikely,calculator_formula_row_needs_manual_mapping,
big_bounce,Big Bounce,"Instrument ""Attack""",,0.0,Maneater,War Gear (Minion boosters),War Gear (Minion boosters),unlikely,calculator_formula_row_needs_manual_mapping,
power_spinach,Power Spinach,"Instrument ""Attack""",,0.0,Fortress Ship,War Gear (Minion boosters),War Gear (Minion boosters),unlikely,calculator_formula_row_needs_manual_mapping,
poseidon_s_trident,Poseidon's Trident,"Instrument ""Attack""",,0.0,Maneater,War Gear (Minion boosters),War Gear (Minion boosters),unlikely,calculator_formula_row_needs_manual_mapping,
know_it_all_device,Know-It-All Device,"Instrument ""Attack""",,0.0,Maneater,War Gear (Minion boosters),War Gear (Minion boosters),unlikely,calculator_formula_row_needs_manual_mapping,
golden_drazgul_fang,Golden Drazgul Fang,"Instrument ""Attack""",,0.0,Maneater,War Gear (Minion boosters),War Gear (Minion boosters),unlikely,calculator_formula_row_needs_manual_mapping,
incredible_key,Incredible Key,"Instrument ""Attack""",,0.0,Maneater,War Gear (Minion boosters),War Gear (Minion boosters),unlikely,calculator_formula_row_needs_manual_mapping,
ring_of_paralysis,Ring of Paralysis,Armor,,0.0,Maneater,War Gear (Minion boosters),War Gear (Minion boosters),unlikely,calculator_formula_row_needs_manual_mapping,
dracula_cape,Dracula Cape,Armor,,0.0,Maneater,War Gear (Minion boosters),War Gear (Minion boosters),unlikely,calculator_formula_row_needs_manual_mapping,
fortress,Fortress,Armor,,0.6,Fortress Ship,War Gear (Minion boosters),War Gear (Minion boosters),possible_candidate,calculator_formula_row_needs_manual_mapping,moderate_row_name_similarity; moderate_token_overlap
traveler_outfit,Traveler Outfit,Armor,,0.0,Fortress Ship,War Gear (Minion boosters),War Gear (Minion boosters),unlikely,calculator_formula_row_needs_manual_mapping,
the_great_magician,The Great Magician,Armor,,0.0,Maneater,War Gear (Minion boosters),War Gear (Minion boosters),unlikely,calculator_formula_row_needs_manual_mapping,
antimatter_shield,Antimatter Shield,Armor,,0.0,Maneater,War Gear (Minion boosters),War Gear (Minion boosters),unlikely,calculator_formula_row_needs_manual_mapping,
the_great_entertainer,The Great Entertainer,Armor,,0.0,Maneater,War Gear (Minion boosters),War Gear (Minion boosters),unlikely,calculator_formula_row_needs_manual_mapping,
agamemnon_outfit,Agamemnon Outfit,Armor,,0.0,Maneater,War Gear (Minion boosters),War Gear (Minion boosters),unlikely,calculator_formula_row_needs_manual_mapping,
libra_artifact,Libra Artifact,Armor,,0.0,Maneater,War Gear (Minion boosters),War Gear (Minion boosters),unlikely,calculator_formula_row_needs_manual_mapping,
