id,name,file_no,rarity_color,hp,atk,def,rush,effect_raw,origin_raw,confidence,spreadsheet_link_count
ice_skates,Ice Skates,109,gray,0,20,0,0,"In [[Koryeo]], INTEL gained +1%",Exchange Kimchi Jar x5 in [[Koryeo]],0.85,0
crowbar,Crowbar,110,gray,0,20,0,0,,Exchange Kimchi Jar x6 in [[Koryeo]],0.85,0
royal_underwear,Royal Underwear,212,gray,0,0,20,0,"In [[Yamato]], INTEL gained +1%",Exchange Koban x6 in [[Yamato]],0.85,0
light_yamato_armor,Light Yamato Armor,213,gray,0,0,20,0,,Exchange Koban x5 in [[Yamato]],0.85,0
iron_helmet,Iron Helmet,309,gray,0,0,20,0,"In [[Cathay]], INTEL gained +1%",Exchange Mahjong x6 in [[Cathay]],0.85,0
podao,Podao,310,gray,0,20,0,0,,Exchange Mahjong x5 in [[Cathay]],0.85,0
tactical_boots,Tactical Boots,412,gray,0,0,0,20,"In [[Murika]], INTEL gained +1%",Exchange Bullet x6 in [[Murika]],0.85,0
smoothbore,Smoothbore,413,gray,0,20,0,0,,Exchange Bullet x5 in [[Murika]],0.85,0
gentleman_s_staff,Gentleman's Staff,509,gray,0,0,20,0,"In [[Britland]], INTEL gained +1%",Exchange Anchor x6 in [[Britland]],0.85,0
top_hat,Top Hat,510,gray,0,20,0,0,,Exchange Anchor x5 in [[Britland]],0.85,0
linen_robe,Linen Robe,612,gray,0,20,0,0,"in [[Kemet]], INTEL gained +1%",Exchange Ankh x6 in [[Kemet]],0.85,0
khopesh,Khopesh,613,gray,0,20,0,0,,Exchange Ankh x5 in [[Kemet]],0.85,0
bronze_helmet,Bronze Helmet,712,gray,0,0,20,0,"in [[Hellas]], INTEL gained +1%",Exchange Feather x6 in [[Hellas]],0.85,0
javelin,Javelin,713,gray,0,20,0,0,,Exchange Feather x5 in [[Hellas]],0.85,0
sikh_turban,Sikh Turban,809,gray,0,0,20,0,"in [[Bharata]], INTEL gained +1%",Exchange Rosary x6 in [[Bharata]],0.85,0
twin_tip_dagger,Twin Tip Dagger,810,gray,0,20,0,0,,Exchange Feather x5 in [[Hellas]],0.85,0
broken_second_hand,Broken Second Hand,1000,,0,20,0,0,,Exchange {{RewardIconWithText|Time Frag Card Gray,0.85,0
broken_minute_hand,Broken Minute Hand,1001,,0,0,20,0,,Exchange {{RewardIconWithText|Time Frag Card Gray,0.85,0
broken_hour_hand,Broken Hour Hand,1002,,0,0,0,20,,Exchange {{RewardIconWithText|Time Frag Card Gray,0.85,0
parsian_pike,Parsian Pike,733,gray,0,0,0,20,,Exchange x5 in [[Parsia]],0.85,0
parsian_kite_shield,Parsian Kite Shield,732,gray,0,0,20,0,"Parsian Exploration, INTEL +1%",Exchange x6 in [[Parsia]],0.85,0
motorbike_helmet,Motorbike Helmet,107,,300,0,10,0,"In [[Koryeo]], DMG +2%",Exchange {{retext|Kimchi Jar|green,0.85,0
switchblade,Switchblade,108,green,0,30,0,10,"In [[Koryeo]], INTEL gained +2%",Ice Skates + Crowbar,0.85,0
ninjutsu_armband,Ninjutsu Armband,210,,0,30,0,10,"In [[Yamato]], DMG +2%",Exchange {{retext|Koban|green,0.85,0
golden_yamato_armor,Golden Yamato Armor,211,green,300,0,10,0,"In [[Yamato]], INTEL gained +2%",Light Yamato Armo + Royal Underwear,0.85,0
heart_protection_mirror,Heart-Protection Mirror,307,,300,0,10,0,"In [[Cathay]], DMG +2%",Exchange {{retext|Mahjong|green,0.85,0
wu_scimitar,Wu Scimitar,308,green,0,30,0,10,"In [[Cathay]], INTEL gained +2%",Iron Helmet + Podao,0.85,0
tactical_vest,Tactical Vest,410,,300,0,10,0,"In [[Murika]], DMG +2%",Exchange {{retext|Bullet|green,0.85,0
colt_revolver,Colt Revolver,411,green,0,30,0,10,"In [[Murika]], INTEL gained +2%",Tactical Boots + Smoothbore,0.85,0
royal_guard_bearskin_hat,Royal Guard Bearskin Hat,507,,300,0,10,0,"In [[Britland]], DMG +2%",Exchange {{retext|Anchor|green,0.85,0
lee_enfield_rifle,Lee Enfield Rifle,508,green,0,30,0,10,"In [[Britland]], INTEL gained +2%",Gentleman's Staff + Top Hat,0.85,0
leather_shield,Leather Shield,610,,300,0,10,0,"In [[Kemet]], DMG +2%",Exchange {{retext|Ankh|green,0.85,0
poisoned_dagger,Poisoned Dagger,611,green,0,30,0,10,"In [[Kemet]], INTEL Gained +2%",Khopesh + Linen Robe,0.85,0
heavy_infantry_helmet,Heavy Infantry Helmet,710,,300,0,10,0,"In [[Hellas]], INTEL gained +2%<br>Every Costume Stat +1%",Exchange {{retext|Feather|green,0.85,0
legion_javelins,Legion Javelins,711,green,0,30,0,10,"In [[Hellas]], INTEL gained +2%<br>Every Costume Stat +1%",Javelin + Bronze Helmet,0.85,0
mughal_soldier_helmet,Mughal Soldier Helmet,807,,300,0,10,0,"In [[Bharata]], DMG +2%",Exchange {{retext|Rosary|green,0.85,0
pata,Pata,808,green,0,30,0,10,"In [[Bharata]], INTEL gained +2%",Twin Tip Dagger + Sikh Turban,0.85,0
time_hand,Time Hand,1003,{{RewardIconWithText|Broken Second Hand,0,30,0,10,In the [[Time Rift,"Rift]], INTEL gained +2%",0.85,0
time_cog,Time Cog,1004,Exchange {{RewardIconWithText|Time Frag Card Green|green,300,0,10,0,In the [[Time Rift,"Rift]], DMG +2%",0.85,0
bichaq,Bichaq,730,,0,30,0,10,"In [[Parsia]], DMG +2%",Exchange {{Retext|Parsian Carpet|green,0.85,0
pesh_kabz,Pesh-Kabz,731,,300,0,10,0,"In [[Parsia]], INTEL +2%",{{RewardIconWithText|Parsian Kite Shield,0.85,0
bulletproof_vest,Bulletproof Vest,105,,200,20,20,20,"In [[Koryeo]], DMG +2%<br>In [[Koryeo]], INTEL gained +2%",Exchange {{retext|Kimchi Jar|blue,0.85,0
assault_rifle_model_98,Assault Rifle Model 98,106,,100,30,10,30,"In [[Koryeo]], DMG +2%<br>In [[Koryeo]], INTEL gained +2%",{{retext|Motorbike Helmet|green,0.85,0
servant_spirit_pendant,Servant Spirit Pendant,208,,200,20,20,20,"In [[Yamato]], DMG +2%<br>In [[Yamato]], INTEL gained +2%",Exchange {{retext|Koban|blue,0.85,0
crimson_haori_jacket,Crimson Haori Jacket,209,,300,10,30,10,"In [[Yamato]], DMG +2%<br>In [[Yamato]], INTEL gained +2%",{{retext|Golden Yamato Armor|green,0.85,0
rainbow_tassel,Rainbow Tassel,305,,200,20,20,20,"In [[Cathay]], DMG +2%<br>In [[Cathay]], INTEL gained +2%",Exchange {{retext|Mahjong|blue,0.85,0
ancient_blade,Ancient Blade,306,,100,300,10,30,"In [[Cathay]], DMG +2%<br>In [[Cathay]], INTEL gained +2%",{{retext|Wu Scimitar|green,0.85,0
pasgt_helmet,PASGT Helmet,408,,200,20,20,20,"In [[Murika]], DMG +2%<br>In [[Murika]], INTEL gained +2%",Exchange {{retext|Bullet|blue,0.85,0
springfield_rifle,Springfield Rifle,409,,100,30,10,30,"In [[Murika]], DMG +2%<br>In [[Murika]], INTEL gained +2%",{{retext|Colt Revolver|green,0.85,0
tuxedo,Tuxedo,505,,200,20,20,20,"In [[Britland]], DMG +2%<br>In [[Britland]], INTEL gained +2%<br>In [[Britland]], fleet cannon DMG +2%",Exchange {{retext|Anchor|blue,0.85,0
sword_cane,Sword Cane,506,,100,30,10,30,"in [[Britland]]In [[Britland]], DMG +2%<br>In [[Britland]], INTEL gained +2%<br>In [[Britland]], fleet cannon DMG +2%",{{retext|Lee Enfield Rifle|green,0.85,0
tactical_helmet,Tactical Helmet,608,,200,20,20,20,"In [[Kemet]], DMG +2%<br>In [[Kemet]], INTEL gained +2%",Exchange {{retext|Ankh|blue,0.85,0
duckbill_axe,Duckbill Axe,609,,100,30,10,30,"In [[Kemet]], DMG +2%<br>In [[Kemet]], INTEL gained +2%",{{retext|Poisoned Dagger|green,0.85,0
spartan_shield,Spartan Shield,708,blue,200,20,20,20,"In [[Hellas]], INTEL gained +2%<br>","In [[Hellas]], DMG +2%<br>Every Costume Stat +2%",0.85,0
macedonian_spear,Macedonian Spear,709,blue,100,30,10,30,"In [[Hellas]], INTEL gained +2%<br>","In [[Hellas]], DMG +2%<br>Every Costume Stat +2%",0.85,0
mahatma_s_robe,Mahatma's Robe,608,,200,20,20,20,"In [[Bharata]], DMG +2%<br>In [[Bharata]], INTEL gained +2%",Exchange {{retext|Rosary|blue,0.85,0
kukri,Kukri,806,,100,30,10,30,"In [[Bharata]], DMG +2%<br>In [[Bharata]], INTEL gained +2%",{{retext|Pata|green,0.85,0
time_wheel,Time Wheel,1005,"Rift]], INTEL gained +2%",100,30,10,30,In the [[Time Rift,"Rift]], DMG +2%<br>In the [[Time Rift",0.85,0
time_blade,Time Blade,1006,"Rift]], INTEL gained +2%",200,20,20,20,In the [[Time Rift,"Rift]], DMG +2%<br>In the [[Time Rift",0.85,0
war_scythes,War Scythes,728,,200,20,20,20,"In [[Parsia]], DMG +2%<br>In [[Parsia]], INTEL +2%",Exchange {{Retext|Parsian Carpet|blue,0.85,0
shamshir,Shamshir,729,,300,10,30,10,"In [[Parsia]], DMG +2%<br>In [[Parsia]], INTEL +2%",{{RewardIconWithText|Pesh-Kabz|green,0.85,0
pirate,Pirate,903,blue,300,10,30,10,"Enemies in Explorations drop +20 B-tads<br>Tadpoles Gained:2,600,000",Divine Chaos Chest (0.8% chance),0.85,0
iron_track,Iron Track,907,blue,100,10,10,50,Travel SPD +1.6%,Divine Order Chest (0.8% chance),0.85,0
diver,Diver,909,blue,300,10,10,30,"In any Realm, 2x Demon God Cell Drops +2%",Divine Neutral Chest (0.8% chance),0.85,0
gas_mask,Gas Mask,103,purple,400,40,40,40,"In [[Koryeo]], DMG +4%<br>In [[Koryeo]], INTEL gained +4%",Obtained from Home Chest,0.85,0
golden_assault_rifle,Golden Assault Rifle,104,,200,60,20,60,"In [[Koryeo]], DMG +4%<br>In [[Koryeo]], INTEL gained +4%",{{retext|Bulletproof Vest|blue,0.85,0
genji_shield,Genji Shield,203,purple,400,40,40,40,"In [[Yamato]], Snail ATK +48<br>In [[Yamato]], Snail DEF +48","Reward of [[Yamato]] INTEL ""Genji III""",0.85,0
genji_helmet,Genji Helmet,204,purple,600,20,60,20,"In [[Yamato]], Snail DEF +48","Reward of [[Yamato]] INTEL ""Genji I""",0.85,0
genji_gloves,Genji Gloves,205,purple,200,60,20,60,"In [[Yamato]], Snail ATK +48","Reward of [[Yamato]] INTEL ""Genji II""",0.85,0
