id,name,tier_color,slot,hp,atk,def,rush,effect,origin,icon_filename
beast_fang,Beast Fang,gray,,0,10,0,10,,• [[Fissure,
broken_hour_hand,Broken Hour Hand,gray,,0,0,0,20,,Exchange {{RewardIconWithText|Time Frag Card Gray,
broken_minute_hand,Broken Minute Hand,gray,,0,0,20,0,,Exchange {{RewardIconWithText|Time Frag Card Gray,
broken_second_hand,Broken Second Hand,gray,,0,20,0,0,,Exchange {{RewardIconWithText|Time Frag Card Gray,
bronze_helmet,Bronze Helmet,gray,,0,0,20,0,"in [[Hellas]], INTEL gained +1%",Exchange Feather x6 in [[Hellas]],
crowbar,Crowbar,gray,,0,20,0,0,,Exchange Kimchi Jar x6 in [[Koryeo]],
flower_crown,Flower Crown,gray,,100,0,10,0,,• [[Fissure,
gentleman_s_staff,Gentleman's Staff,gray,,0,0,20,0,"In [[Britland]], INTEL gained +1%",Exchange Anchor x6 in [[Britland]],
ice_skates,Ice Skates,gray,,0,20,0,0,"In [[Koryeo]], INTEL gained +1%",Exchange Kimchi Jar x5 in [[Koryeo]],
iron_helmet,Iron Helmet,gray,,0,0,20,0,"In [[Cathay]], INTEL gained +1%",Exchange Mahjong x6 in [[Cathay]],
iron_ring,Iron Ring,gray,,0,10,0,10,,• [[Fissure,
javelin,Javelin,gray,,0,20,0,0,,Exchange Feather x5 in [[Hellas]],
khopesh,Khopesh,gray,,0,20,0,0,,Exchange Ankh x5 in [[Kemet]],
light_yamato_armor,Light Yamato Armor,gray,,0,0,20,0,,Exchange Koban x5 in [[Yamato]],
linen_robe,Linen Robe,gray,,0,20,0,0,"in [[Kemet]], INTEL gained +1%",Exchange Ankh x6 in [[Kemet]],
parsian_kite_shield,Parsian Kite Shield,gray,,0,0,20,0,"Parsian Exploration, INTEL +1%",Exchange x6 in [[Parsia]],
parsian_pike,Parsian Pike,gray,,0,0,0,20,,Exchange x5 in [[Parsia]],
podao,Podao,gray,,0,20,0,0,,Exchange Mahjong x5 in [[Cathay]],
royal_underwear,Royal Underwear,gray,,0,0,20,0,"In [[Yamato]], INTEL gained +1%",Exchange Koban x6 in [[Yamato]],
sikh_turban,Sikh Turban,gray,,0,0,20,0,"in [[Bharata]], INTEL gained +1%",Exchange Rosary x6 in [[Bharata]],
smoothbore,Smoothbore,gray,,0,20,0,0,,Exchange Bullet x5 in [[Murika]],
tactical_boots,Tactical Boots,gray,,0,0,0,20,"In [[Murika]], INTEL gained +1%",Exchange Bullet x6 in [[Murika]],
top_hat,Top Hat,gray,,0,20,0,0,,Exchange Anchor x5 in [[Britland]],
twin_tip_dagger,Twin Tip Dagger,gray,,0,20,0,0,,Exchange Feather x5 in [[Hellas]],
wooden_ring,Wooden Ring,gray,,100,0,10,0,,• [[Fissure,
bichaq,Bichaq,green,,0,30,0,10,"In [[Parsia]], DMG +2%",Exchange {{Retext|Parsian Carpet|green,
black_pearl,Black Pearl,green,,50,15,5,15,,• [[Fissure,
broken_sageender,Broken Sageender,green,,50,25,5,5,Crit DMG +2%,Fully defeat [[Mailbox#Ratman,
broken_sagemurderer,Broken Sagemurderer,green,,50,25,5,5,Crit DMG +2%,Fully defeat [[Mailbox#Ratman,
broken_sagesinker,Broken Sagesinker,green,,50,25,5,5,Crit DMG +2%,Fully defeat [[Mailbox#Ratman,
colt_revolver,Colt Revolver,green,,0,30,0,10,"In [[Murika]], INTEL gained +2%",Tactical Boots + Smoothbore,
crystal_lens,Crystal Lens,green,,100,10,10,10,RUSH DMG +60,[[Vending Machine]] Purchase,
fresnal_lens,Fresnal Lens,green,,100,10,10,10,RUSH DMG +60,[[Vending Machine]] Purchase,
golden_yamato_armor,Golden Yamato Armor,green,,300,0,10,0,"In [[Yamato]], INTEL gained +2%",Light Yamato Armo + Royal Underwear,
hannibel_s_scalpel,Hannibel's Scalpel,green,,50,25,5,5,"In Snail Fight: DMG +1.5%, 1st round DMG +1%",Dragon Wish Reward<br>[[Altar#Discount_Dragon,
heart_protection_mirror,Heart-Protection Mirror,green,,300,0,10,0,"In [[Cathay]], DMG +2%",Exchange {{retext|Mahjong|green,
heavy_infantry_helmet,Heavy Infantry Helmet,green,,300,0,10,0,"In [[Hellas]], INTEL gained +2%<br>Every Costume Stat +1%",Exchange {{retext|Feather|green,
jack_s_gloves,Jack's Gloves,green,,50,25,5,5,"In Snail Fight: DMG +1.5%, 1st round DMG +1%",Dragon Wish Reward<br>[[Altar#Discount_Dragon,
leather_shield,Leather Shield,green,,300,0,10,0,"In [[Kemet]], DMG +2%",Exchange {{retext|Ankh|green,
lee_enfield_rifle,Lee Enfield Rifle,green,,0,30,0,10,"In [[Britland]], INTEL gained +2%",Gentleman's Staff + Top Hat,
legion_javelins,Legion Javelins,green,,0,30,0,10,"In [[Hellas]], INTEL gained +2%<br>Every Costume Stat +1%",Javelin + Bronze Helmet,
lotus_platform,Lotus Platform,green,,150,5,5,15,"In Angel Form, Regen 160 HP each round",Defeat [[Mailbox#Ratman,
motorbike_helmet,Motorbike Helmet,green,,300,0,10,0,"In [[Koryeo]], DMG +2%",Exchange {{retext|Kimchi Jar|green,
mughal_soldier_helmet,Mughal Soldier Helmet,green,,300,0,10,0,"In [[Bharata]], DMG +2%",Exchange {{retext|Rosary|green,
ninjutsu_armband,Ninjutsu Armband,green,,0,30,0,10,"In [[Yamato]], DMG +2%",Exchange {{retext|Koban|green,
pata,Pata,green,,0,30,0,10,"In [[Bharata]], INTEL gained +2%",Twin Tip Dagger + Sikh Turban,
pesh_kabz,Pesh-Kabz,green,,300,0,10,0,"In [[Parsia]], INTEL +2%",{{RewardIconWithText|Parsian Kite Shield,
poisoned_dagger,Poisoned Dagger,green,,0,30,0,10,"In [[Kemet]], INTEL Gained +2%",Khopesh + Linen Robe,
royal_guard_bearskin_hat,Royal Guard Bearskin Hat,green,,300,0,10,0,"In [[Britland]], DMG +2%",Exchange {{retext|Anchor|green,
shattered_fire_spear,Shattered Fire Spear,green,,50,25,5,5,Lifesteal Effect +10%,Fully defeat [[Mailbox#Ratman,
shattered_palm_leaf_fan,Shattered Palm-Leaf Fan,green,,50,25,5,5,Lifesteal Effect +10%,Fully defeat [[Mailbox#Ratman,
shattered_sky_ribbon,Shattered Sky Ribbon,green,,50,25,5,5,Lifesteal Effect +10%,Fully defeat [[Mailbox#Ratman,
shattered_windfire_wheel,Shattered Windfire Wheel,green,,50,25,5,5,Lifesteal Effect +10%,Fully defeat [[Mailbox#Ratman,
sorcerer_ring,Sorcerer Ring,green,,150,5,15,15,,• Flower Crown + Wooden Ring<br>• Lottery Machine (0.67% chance)<br>• Gear Chest (0.8% chance)<br>• Divine Chests(0.9% chance),
switchblade,Switchblade,green,,0,30,0,10,"In [[Koryeo]], INTEL gained +2%",Ice Skates + Crowbar,
tactical_vest,Tactical Vest,green,,300,0,10,0,"In [[Murika]], DMG +2%",Exchange {{retext|Bullet|green,
time_cog,Time Cog,green,,300,0,10,0,In the [[Time Rift,"Rift]], DMG +2%",
time_hand,Time Hand,green,,0,30,0,10,In the [[Time Rift,"Rift]], INTEL gained +2%",
warrior_ring,Warrior Ring,green,,50,15,5,15,,• Iron Ring + Beast Fang<br>• Lottery Machine (0.67% chance)<br>• Gear Chest (0.8% chance)<br>• Divine Chests (0.9% chance),
white_pearl,White Pearl,green,,150,5,15,5,,• [[Fissure,
wu_scimitar,Wu Scimitar,green,,0,30,0,10,"In [[Cathay]], INTEL gained +2%",Iron Helmet + Podao,
ancient_blade,Ancient Blade,blue,,100,300,10,30,"In [[Cathay]], DMG +2%<br>In [[Cathay]], INTEL gained +2%",{{retext|Wu Scimitar|green,
assault_rifle_model_98,Assault Rifle Model 98,blue,,100,30,10,30,"In [[Koryeo]], DMG +2%<br>In [[Koryeo]], INTEL gained +2%",{{retext|Motorbike Helmet|green,
broken_fiend_mirror,Broken Fiend Mirror,blue,,100,50,10,10,Lifesteal Effect +20%,Defeat [[Mailbox#Ratman,
broken_godsmiter,Broken Godsmiter,blue,,100,50,10,10,Crit DMG +4%,Defeat [[Mailbox#Ratman,
broken_palm_leaf_fan,Broken Palm-Leaf Fan,blue,,100,50,10,10,Lifesteal Effect +20%,{{retext|Shattered Palm-Leaf Fan|green,
broken_sagekiller,Broken Sagekiller,blue,,50,25,5,5,Crit DMG +2%,Fully defeat [[Mailbox#Ratman,
bulletproof_vest,Bulletproof Vest,blue,,200,20,20,20,"In [[Koryeo]], DMG +2%<br>In [[Koryeo]], INTEL gained +2%",Exchange {{retext|Kimchi Jar|blue,
crimson_haori_jacket,Crimson Haori Jacket,blue,,300,10,30,10,"In [[Yamato]], DMG +2%<br>In [[Yamato]], INTEL gained +2%",{{retext|Golden Yamato Armor|green,
crusader_ring,Crusader Ring,blue,,100,30,10,30,,• {{retext|Black Pearl|green,
duckbill_axe,Duckbill Axe,blue,,100,30,10,30,"In [[Kemet]], DMG +2%<br>In [[Kemet]], INTEL gained +2%",{{retext|Poisoned Dagger|green,
freddy_s_claw,Freddy's Claw,blue,,100,50,10,10,"In Snail Arena, DMG +3%. In Snail Arena, Round 1 DMG +2%",{{retext|Jack's glove|green,
infrared_lens,Infrared Lens,blue,,200,20,20,20,RUSH DMG +120,[[Vending Machine]],
jason_s_mask,Jason's Mask,blue,,100,50,10,10,"In Snail Arena, DMG +3%. In Snail Arena, Round 1 DMG +2%",Dragon Wish Reward<br>[[Altar#Discount_Dragon,
kukri,Kukri,blue,,100,30,10,30,"In [[Bharata]], DMG +2%<br>In [[Bharata]], INTEL gained +2%",{{retext|Pata|green,
lotus_platform_iii,Lotus Platform III,blue,,300,10,10,30,"In Angel Form, Regen 320 HP each round",{{retext|Lotus Platform|green,
macedonian_spear,Macedonian Spear,blue,,100,30,10,30,"In [[Hellas]], INTEL gained +2%<br>","In [[Hellas]], DMG +2%<br>Every Costume Stat +2%",
mahatma_s_robe,Mahatma's Robe,blue,,200,20,20,20,"In [[Bharata]], DMG +2%<br>In [[Bharata]], INTEL gained +2%",Exchange {{retext|Rosary|blue,
multifunction_goggles,Multifunction Goggles,blue,,200,20,20,20,RUSH DMG +120,{{retext|Crystal Lens|green,
pasgt_helmet,PASGT Helmet,blue,,200,20,20,20,"In [[Murika]], DMG +2%<br>In [[Murika]], INTEL gained +2%",Exchange {{retext|Bullet|blue,
