id,name,tierColor,hp,atk,def,rush,effect,origin,iconSrc,iconMissing
beast_fang,Beast Fang,gray,0,10,0,10,,• [[Fissure,/kb/gear/icons/Beast_Fang.png,False
broken_hour_hand,Broken Hour Hand,gray,0,0,0,20,,Exchange {{RewardIconWithText|Time Frag Card Gray,/kb/gear/icons/Broken_Hour_Hand.png,False
broken_minute_hand,Broken Minute Hand,gray,0,0,20,0,,Exchange {{RewardIconWithText|Time Frag Card Gray,/kb/gear/icons/Broken_Minute_Hand.png,False
broken_second_hand,Broken Second Hand,gray,0,20,0,0,,Exchange {{RewardIconWithText|Time Frag Card Gray,/kb/gear/icons/Broken_Second_Hand.png,False
bronze_helmet,Bronze Helmet,gray,0,0,20,0,"in [[Hellas]], INTEL gained +1%",Exchange Feather x6 in [[Hellas]],/kb/gear/icons/Bronze_Helmet.png,False
crowbar,Crowbar,gray,0,20,0,0,,Exchange Kimchi Jar x6 in [[Koryeo]],/kb/gear/icons/Crowbar.png,False
flower_crown,Flower Crown,gray,100,0,10,0,,• [[Fissure,/kb/gear/icons/Flower_Crown.png,False
gentleman_s_staff,Gentleman's Staff,gray,0,0,20,0,"In [[Britland]], INTEL gained +1%",Exchange Anchor x6 in [[Britland]],/kb/gear/icons/Gentleman_s_Staff.png,False
ice_skates,Ice Skates,gray,0,20,0,0,"In [[Koryeo]], INTEL gained +1%",Exchange Kimchi Jar x5 in [[Koryeo]],/kb/gear/icons/Ice_Skates.png,False
iron_helmet,Iron Helmet,gray,0,0,20,0,"In [[Cathay]], INTEL gained +1%",Exchange Mahjong x6 in [[Cathay]],/kb/gear/icons/Iron_Helmet.png,False
iron_ring,Iron Ring,gray,0,10,0,10,,• [[Fissure,/kb/gear/icons/Iron_Ring.png,False
javelin,Javelin,gray,0,20,0,0,,Exchange Feather x5 in [[Hellas]],/kb/gear/icons/Javelin.png,False
khopesh,Khopesh,gray,0,20,0,0,,Exchange Ankh x5 in [[Kemet]],/kb/gear/icons/Khopesh.png,False
light_yamato_armor,Light Yamato Armor,gray,0,0,20,0,,Exchange Koban x5 in [[Yamato]],/kb/gear/icons/Light_Yamato_Armor.png,False
linen_robe,Linen Robe,gray,0,20,0,0,"in [[Kemet]], INTEL gained +1%",Exchange Ankh x6 in [[Kemet]],/kb/gear/icons/Linen_Robe.png,False
parsian_kite_shield,Parsian Kite Shield,gray,0,0,20,0,"Parsian Exploration, INTEL +1%",Exchange x6 in [[Parsia]],/kb/gear/icons/Parsian_Kite_Shield.png,False
parsian_pike,Parsian Pike,gray,0,0,0,20,,Exchange x5 in [[Parsia]],/kb/gear/icons/Parsian_Pike.png,False
podao,Podao,gray,0,20,0,0,,Exchange Mahjong x5 in [[Cathay]],/kb/gear/icons/Podao.png,False
royal_underwear,Royal Underwear,gray,0,0,20,0,"In [[Yamato]], INTEL gained +1%",Exchange Koban x6 in [[Yamato]],/kb/gear/icons/Royal_Underwear.png,False
sikh_turban,Sikh Turban,gray,0,0,20,0,"in [[Bharata]], INTEL gained +1%",Exchange Rosary x6 in [[Bharata]],/kb/gear/icons/Sikh_Turban.png,False
smoothbore,Smoothbore,gray,0,20,0,0,,Exchange Bullet x5 in [[Murika]],/kb/gear/icons/Smoothbore.png,False
tactical_boots,Tactical Boots,gray,0,0,0,20,"In [[Murika]], INTEL gained +1%",Exchange Bullet x6 in [[Murika]],/kb/gear/icons/Tactical_Boots.png,False
top_hat,Top Hat,gray,0,20,0,0,,Exchange Anchor x5 in [[Britland]],/kb/gear/icons/Top_Hat.png,False
twin_tip_dagger,Twin Tip Dagger,gray,0,20,0,0,,Exchange Feather x5 in [[Hellas]],/kb/gear/icons/Twin_Tip_Dagger.png,False
wooden_ring,Wooden Ring,gray,100,0,10,0,,• [[Fissure,/kb/gear/icons/Wooden_Ring.png,False
bichaq,Bichaq,green,0,30,0,10,"In [[Parsia]], DMG +2%",Exchange {{Retext|Parsian Carpet|green,/kb/gear/icons/Bichaq.png,False
black_pearl,Black Pearl,green,50,15,5,15,,• [[Fissure,/kb/gear/icons/Black_Pearl.png,False
broken_sageender,Broken Sageender,green,50,25,5,5,Crit DMG +2%,Fully defeat [[Mailbox#Ratman,/kb/gear/icons/Broken_Sageender.png,False
broken_sagemurderer,Broken Sagemurderer,green,50,25,5,5,Crit DMG +2%,Fully defeat [[Mailbox#Ratman,/kb/gear/icons/Broken_Sagemurderer.png,False
broken_sagesinker,Broken Sagesinker,green,50,25,5,5,Crit DMG +2%,Fully defeat [[Mailbox#Ratman,/kb/gear/icons/Broken_Sagesinker.png,False
colt_revolver,Colt Revolver,green,0,30,0,10,"In [[Murika]], INTEL gained +2%",Tactical Boots + Smoothbore,/kb/gear/icons/Colt_Revolver.png,False
crystal_lens,Crystal Lens,green,100,10,10,10,RUSH DMG +60,[[Vending Machine]] Purchase,/kb/gear/icons/Crystal_Lens.png,False
fresnal_lens,Fresnal Lens,green,100,10,10,10,RUSH DMG +60,[[Vending Machine]] Purchase,/kb/gear/icons/Fresnal_Lens.png,False
golden_yamato_armor,Golden Yamato Armor,green,300,0,10,0,"In [[Yamato]], INTEL gained +2%",Light Yamato Armo + Royal Underwear,/kb/gear/icons/Golden_Yamato_Armor.png,False
hannibel_s_scalpel,Hannibel's Scalpel,green,50,25,5,5,"In Snail Fight: DMG +1.5%, 1st round DMG +1%",Dragon Wish Reward<br>[[Altar#Discount_Dragon,/kb/gear/icons/Hannibel_s_Scalpel.png,False
heart_protection_mirror,Heart-Protection Mirror,green,300,0,10,0,"In [[Cathay]], DMG +2%",Exchange {{retext|Mahjong|green,/kb/gear/icons/Heart-Protection_Mirror.png,False
heavy_infantry_helmet,Heavy Infantry Helmet,green,300,0,10,0,"In [[Hellas]], INTEL gained +2%<br>Every Costume Stat +1%",Exchange {{retext|Feather|green,/kb/gear/icons/Heavy_Infantry_Helmet.png,False
jack_s_gloves,Jack's Gloves,green,50,25,5,5,"In Snail Fight: DMG +1.5%, 1st round DMG +1%",Dragon Wish Reward<br>[[Altar#Discount_Dragon,/kb/gear/icons/Jack_s_Gloves.png,False
leather_shield,Leather Shield,green,300,0,10,0,"In [[Kemet]], DMG +2%",Exchange {{retext|Ankh|green,/kb/gear/icons/Leather_Shield.png,False
lee_enfield_rifle,Lee Enfield Rifle,green,0,30,0,10,"In [[Britland]], INTEL gained +2%",Gentleman's Staff + Top Hat,/kb/gear/icons/Lee_Enfield_Rifle.png,False
legion_javelins,Legion Javelins,green,0,30,0,10,"In [[Hellas]], INTEL gained +2%<br>Every Costume Stat +1%",Javelin + Bronze Helmet,/kb/gear/icons/Legion_Javelins.png,False
lotus_platform,Lotus Platform,green,150,5,5,15,"In Angel Form, Regen 160 HP each round",Defeat [[Mailbox#Ratman,/kb/gear/icons/Lotus_Platform.png,False
motorbike_helmet,Motorbike Helmet,green,300,0,10,0,"In [[Koryeo]], DMG +2%",Exchange {{retext|Kimchi Jar|green,/kb/gear/icons/Motorbike_Helmet.png,False
mughal_soldier_helmet,Mughal Soldier Helmet,green,300,0,10,0,"In [[Bharata]], DMG +2%",Exchange {{retext|Rosary|green,/kb/gear/icons/Mughal_Soldier_Helmet.png,False
ninjutsu_armband,Ninjutsu Armband,green,0,30,0,10,"In [[Yamato]], DMG +2%",Exchange {{retext|Koban|green,/kb/gear/icons/Ninjutsu_Armband.png,False
pata,Pata,green,0,30,0,10,"In [[Bharata]], INTEL gained +2%",Twin Tip Dagger + Sikh Turban,/kb/gear/icons/Pata.png,False
pesh_kabz,Pesh-Kabz,green,300,0,10,0,"In [[Parsia]], INTEL +2%",{{RewardIconWithText|Parsian Kite Shield,/kb/gear/icons/Pesh-Kabz.png,False
poisoned_dagger,Poisoned Dagger,green,0,30,0,10,"In [[Kemet]], INTEL Gained +2%",Khopesh + Linen Robe,/kb/gear/icons/Poisoned_Dagger.png,False
royal_guard_bearskin_hat,Royal Guard Bearskin Hat,green,300,0,10,0,"In [[Britland]], DMG +2%",Exchange {{retext|Anchor|green,/kb/gear/icons/Royal_Guard_Bearskin_Hat.png,False
shattered_fire_spear,Shattered Fire Spear,green,50,25,5,5,Lifesteal Effect +10%,Fully defeat [[Mailbox#Ratman,/kb/gear/icons/Shattered_Fire_Spear.png,False
shattered_palm_leaf_fan,Shattered Palm-Leaf Fan,green,50,25,5,5,Lifesteal Effect +10%,Fully defeat [[Mailbox#Ratman,/kb/gear/icons/Shattered_Palm-Leaf_Fan.png,False
shattered_sky_ribbon,Shattered Sky Ribbon,green,50,25,5,5,Lifesteal Effect +10%,Fully defeat [[Mailbox#Ratman,/kb/gear/icons/Shattered_Sky_Ribbon.png,False
shattered_windfire_wheel,Shattered Windfire Wheel,green,50,25,5,5,Lifesteal Effect +10%,Fully defeat [[Mailbox#Ratman,/kb/gear/icons/Shattered_Windfire_Wheel.png,False
sorcerer_ring,Sorcerer Ring,green,150,5,15,15,,• Flower Crown + Wooden Ring<br>• Lottery Machine (0.67% chance)<br>• Gear Chest (0.8% chance)<br>• Divine Chests(0.9% chance),/kb/gear/icons/Sorcerer_Ring.png,False
switchblade,Switchblade,green,0,30,0,10,"In [[Koryeo]], INTEL gained +2%",Ice Skates + Crowbar,/kb/gear/icons/Switchblade.png,False
tactical_vest,Tactical Vest,green,300,0,10,0,"In [[Murika]], DMG +2%",Exchange {{retext|Bullet|green,/kb/gear/icons/Tactical_Vest.png,False
time_cog,Time Cog,green,300,0,10,0,In the [[Time Rift,"Rift]], DMG +2%",/kb/gear/icons/Time_Cog.png,False
time_hand,Time Hand,green,0,30,0,10,In the [[Time Rift,"Rift]], INTEL gained +2%",/kb/gear/icons/Time_Hand.png,False
warrior_ring,Warrior Ring,green,50,15,5,15,,• Iron Ring + Beast Fang<br>• Lottery Machine (0.67% chance)<br>• Gear Chest (0.8% chance)<br>• Divine Chests (0.9% chance),/kb/gear/icons/Warrior_Ring.png,False
white_pearl,White Pearl,green,150,5,15,5,,• [[Fissure,/kb/gear/icons/White_Pearl.png,False
wu_scimitar,Wu Scimitar,green,0,30,0,10,"In [[Cathay]], INTEL gained +2%",Iron Helmet + Podao,/kb/gear/icons/Wu_Scimitar.png,False
ancient_blade,Ancient Blade,blue,100,300,10,30,"In [[Cathay]], DMG +2%<br>In [[Cathay]], INTEL gained +2%",{{retext|Wu Scimitar|green,/kb/gear/icons/Ancient_Blade.png,False
assault_rifle_model_98,Assault Rifle Model 98,blue,100,30,10,30,"In [[Koryeo]], DMG +2%<br>In [[Koryeo]], INTEL gained +2%",{{retext|Motorbike Helmet|green,/kb/gear/icons/Assault_Rifle_Model_98.png,False
