id,name,tier_color,slot,hp,atk,def,rush,data_file
7_star_blade,7-Star Blade,purple,,200,60,20,60,game/data/canonical/gear/7_star_blade.json
abyss_amulet,Abyss Amulet,purple,,200,60,20,60,game/data/canonical/gear/abyss_amulet.json
abyss_wings,Abyss Wings,orange,,400,120,40,120,game/data/canonical/gear/abyss_wings.json
achilles_shield,Achilles' Shield,purple,,600,20,60,20,game/data/canonical/gear/achilles_shield.json
agamemnon_outfit,Agamemnon Outfit,red,,3000,100,300,100,game/data/canonical/gear/agamemnon_outfit.json
alloy_shield,Alloy Shield,orange,,400,40,20,40,game/data/canonical/gear/alloy_shield.json
amulet_of_will,Amulet of Will,red,,1200,120,120,120,game/data/canonical/gear/amulet_of_will.json
amulet_of_will_1,Amulet of Will +1,red,,2000,200,200,200,game/data/canonical/gear/amulet_of_will_1.json
ancestral_legacy,Ancestral Legacy,red,,600,60,300,60,game/data/canonical/gear/ancestral_legacy.json
ancient_blade,Ancient Blade,blue,,100,300,10,30,game/data/canonical/gear/ancient_blade.json
antelope_horn_shield,Antelope Horn Shield,purple,,400,40,40,40,game/data/canonical/gear/antelope_horn_shield.json
anti_strength_saber,Anti-Strength Saber,orange,,400,200,40,40,game/data/canonical/gear/anti_strength_saber.json
antimatter_armor,Antimatter Armor,red,,1200,120,120,120,game/data/canonical/gear/antimatter_armor.json
antimatter_shield,Antimatter Shield,red,,600,60,300,60,game/data/canonical/gear/antimatter_shield.json
arabic_dagger,Arabic Dagger,purple,,600,20,60,20,game/data/canonical/gear/arabic_dagger.json
arrow_of_arash,Arrow of Arash,orange,,800,80,80,80,game/data/canonical/gear/arrow_of_arash.json
ashoka_s_sword,Ashoka's Sword,orange,,400,120,40,120,game/data/canonical/gear/ashoka_s_sword.json
assassin_s_gauntlet,Assassin's Gauntlet,purple,,200,60,20,60,game/data/canonical/gear/assassin_s_gauntlet.json
assault_rifle_model_98,Assault Rifle Model 98,blue,,100,30,10,30,game/data/canonical/gear/assault_rifle_model_98.json
athena_s_spear,Athena's Spear,red,,600,180,60,180,game/data/canonical/gear/athena_s_spear.json
azazel_s_curse,Azazel's Curse,orange,,400,120,120,40,game/data/canonical/gear/azazel_s_curse.json
azazel_s_pact,Azazel's Pact,red,,600,180,180,60,game/data/canonical/gear/azazel_s_pact.json
b_tadpole_sword,B-Tadpole Sword,orange,,400,200,40,40,game/data/canonical/gear/b_tadpole_sword.json
battle_detector,Battle Detector,orange,,800,80,80,80,game/data/canonical/gear/battle_detector.json
