sheet,cell,formula,cached_value
Gear,C2,GearMath!C2,0
Gear,C3,GearMath!C3,0
Gear,C4,GearMath!C4,0
Gear,C5,GearMath!C5,0
Gear,C21,GearMath!D21+(GearMath!E21*GearMath!$D$20),3000
Gear,E21,GearMath!G21+(GearMath!D20*GearMath!H21),0.12
Gear,C22,GearMath!D22+(GearMath!E22*GearMath!$D$20),100
Gear,E22,GearMath!G22+(GearMath!D20*GearMath!H22),0.12
Gear,C23,GearMath!D23+(GearMath!E23*GearMath!$D$20),100
Gear,C24,GearMath!D24+(GearMath!E24*GearMath!$D$20),300
Gear,C27,GearMath!D27+(GearMath!E27*GearMath!$D$26),3000
Gear,E27,GearMath!G27+(GearMath!D26*GearMath!H27),120
Gear,C28,GearMath!D28+(GearMath!E28*GearMath!$D$26),100
Gear,E28,GearMath!G28+(GearMath!D26*GearMath!H28),3200000
Gear,C29,GearMath!D29+(GearMath!E29*GearMath!$D$26),300
Gear,E29,GearMath!G29+(GearMath!D26*GearMath!H29),24
Gear,C30,GearMath!D30+(GearMath!E30*GearMath!$D$26),100
Gear,E30,GearMath!G30+(GearMath!D26*GearMath!H30),120000
Gear,C33,GearMath!D33+(GearMath!E33*(GearMath!$D$32)),1000
Gear,E33,GearMath!G33+(GearMath!H33*(GearMath!$D$32)),0.096
Gear,C34,GearMath!D34+(GearMath!E34*(GearMath!$D$32)),100
Gear,C35,GearMath!D35+(GearMath!E35*(GearMath!$D$32)),100
Gear,C36,GearMath!D36+(GearMath!E36*(GearMath!$D$32)),500
Gear,D40,"if(Gear!H40<2,0,Gear!H40-1)",0
Gear,C41,D41+(E41*$D$40),3000
Gear,G41,J41+K41*D40,0.12
Gear,D46,"if(Gear!H46<2,0,Gear!H46-1)",0
Gear,C47,D47+(E47*$D$46),1000
Gear,G47,J47+K47*D46,0.12
Gear,D52,"if(Gear!H52<2,0,Gear!H52-1)",0
Gear,C53,D53+(E53*$D$52),3000
Gear,G53,J53+K53*D52,1920
Gear,C59,GearMath!D59+(GearMath!E59*GearMath!$D$58),1000
Gear,E59,GearMath!G59+(GearMath!H59*GearMath!D58),0.24
Gear,C60,GearMath!D60+(GearMath!E60*GearMath!$D$58),300
Gear,C61,GearMath!D61+(GearMath!E61*GearMath!$D$58),100
Gear,C62,GearMath!D62+(GearMath!E62*GearMath!$D$58),300
Gear,D64,"if(Gear!H64<2,0,Gear!H64-1)",0
Gear,C65,D65+(E65*$D$64),1000
Gear,G65,J65+K65*D64,0.12
Gear,C71,GearMath!D71+(GearMath!E71*GearMath!$D$70),1000
Gear,E71,GearMath!G71+GearMath!H71*GearMath!D70,720
Gear,C72,GearMath!D72+(GearMath!E72*GearMath!$D$70),300
Gear,C73,GearMath!D73+(GearMath!E73*GearMath!$D$70),100
Gear,C74,GearMath!D74+(GearMath!E74*GearMath!$D$70),300
Gear,C77,GearMath!D77+(GearMath!E77*GearMath!$D$76),1000
Gear,E77,GearMath!G77+(GearMath!H77*GearMath!D76),0.12
Gear,C78,GearMath!D78+(GearMath!E78*GearMath!$D$76),300
Gear,C79,GearMath!D79+(GearMath!E79*GearMath!$D$76),100
Gear,C80,GearMath!D80+(GearMath!E80*GearMath!$D$76),300
Gear,C84,GearMath!D84+(GearMath!E84*GearMath!$D$83),1000
Gear,E84,GearMath!G84+GearMath!H84*GearMath!D83,0.24
Gear,C85,GearMath!D85+(GearMath!E85*GearMath!$D$83),500
Gear,E85,GearMath!G85+GearMath!H85*GearMath!D83,0.36
Gear,C86,GearMath!D86+(GearMath!E86*GearMath!$D$83),100
Gear,C87,GearMath!D87+(GearMath!E87*GearMath!$D$83),100
Gear,C90,GearMath!D90+(GearMath!E90*GearMath!$D$89),1000
Gear,E90,GearMath!G90+GearMath!H90*GearMath!D89,360
Gear,C91,GearMath!D91+(GearMath!E91*GearMath!$D$89),500
Gear,E91,GearMath!G91+GearMath!H91*GearMath!D89,0.12
Gear,C92,GearMath!D92+(GearMath!E92*GearMath!$D$89),100
Gear,C93,GearMath!D93+(GearMath!E93*GearMath!$D$89),100
Gear,C96,GearMath!D96+(GearMath!E96*GearMath!$D$95),1000
Gear,E96,GearMath!G96+GearMath!H96*GearMath!$D$95,240
Gear,C97,GearMath!D97+(GearMath!E97*GearMath!$D$95),500
Gear,E97,GearMath!G97+GearMath!H97*GearMath!$D$95,240
Gear,C98,GearMath!D98+(GearMath!E98*GearMath!$D$95),100
Gear,E98,GearMath!G98+GearMath!H98*GearMath!$D$95,240
Gear,C99,GearMath!D99+(GearMath!E99*GearMath!$D$95),100
Gear,E99,GearMath!G99+GearMath!H99*GearMath!$D$95,240
Gear,E100,GearMath!G100+GearMath!H100*GearMath!$D$95,240
Gear,C103,GearMath!D103+(GearMath!E103*GearMath!$D$102),1000
Gear,E103,GearMath!G103+GearMath!H103*GearMath!D$102,360
Gear,C104,GearMath!D104+(GearMath!E104*GearMath!$D$102),500
Gear,E104,GearMath!G104+GearMath!H104*GearMath!D$102,0.12
Gear,C105,GearMath!D105+(GearMath!E105*GearMath!$D$102),100
Gear,E105,GearMath!G105+GearMath!H105*GearMath!D$102,0.12
Gear,C106,GearMath!D106+(GearMath!E106*GearMath!$D$102),100
Gear,C109,GearMath!D109+(GearMath!E109*GearMath!$D$108),1000
Gear,E109,GearMath!G109+GearMath!H109*GearMath!D$108,360
Gear,C110,GearMath!D110+(GearMath!E110*GearMath!$D$108),100
Gear,E110,GearMath!G110+GearMath!H110*GearMath!D$108,48
Gear,C111,GearMath!D111+(GearMath!E111*GearMath!$D$108),100
Gear,E111,GearMath!G111+GearMath!H111*GearMath!D$108,48
Gear,C112,GearMath!D112+(GearMath!E112*GearMath!$D$108),500
Gear,C115,GearMath!D115+(GearMath!E115*GearMath!$D$114),1000
Gear,E115,GearMath!G115+GearMath!H115*GearMath!D$114,360
Gear,C116,GearMath!D116+(GearMath!E116*GearMath!$D$114),500
Gear,E116,GearMath!G116+GearMath!H116*GearMath!D$114,0.12
Gear,C117,GearMath!D117+(GearMath!E117*GearMath!$D$114),100
Gear,E117,GearMath!G117+GearMath!H117*GearMath!D$114,0.6
Gear,C118,GearMath!D118+(GearMath!E118*GearMath!$D$114),100
Gear,C121,GearMath!D121+(GearMath!E121*GearMath!$D$120),2000
Gear,E121,GearMath!G121+GearMath!H121*GearMath!D$120,3600
Gear,C122,GearMath!D122+(GearMath!E122*GearMath!$D$120),200
Gear,E122,GearMath!G122+GearMath!H122*GearMath!D$120,360
Gear,C123,GearMath!D123+(GearMath!E123*GearMath!$D$120),200
Gear,E123,GearMath!G123+GearMath!H123*GearMath!D$120,360
Gear,C124,GearMath!D124+(GearMath!E124*GearMath!$D$120),200
